whisper-large-v2,file
" Jeg er enig, at vi har en udfordring i forhold til både fertilitetsudfordringer, som ministeren nævner med hver fjerde, men også med en befolkningsvækst, der går den forkerte vej. Men tid er afgørende for et vellykket fertilitetsforløb. Som vi lige var inde på, er der ventetider. Den her ufrivillige barnløshed og fertilitetsbehandlinger kan nemlig være ekstremt opslidende, som ministeren også var inde på. Og der er grænser for, hvor længe kvinden og parforholdet kan holde til den slags. Det er enormt indgribende at skulle stikke sig konstant, at skulle ændre på cyklusen, at skulle opleve at have scanninger på klinikken aflyst, eller som ændrer sig med kort varsel. For det er noget, der griber ind i hele familien og parforholdet på en ret vild måde. Den her alder hos kvinden er også en faktor for at have en god chance for succes. Og uret tækker jo. Og det gør det også, når man begynder i et forløb på en fertilitetsklinik. Og den her ventetid kan være gift for sådan et forløb. Venstre ogle Alliance har jo tidligere været enige om flere dele af den her debat. Vi i Liberale Alliance har i vores seneste sundhedsudspil foreslået at udvide udrindnings- og behandlingsgarantien netop på det her område til at ombefatte fertilitetsbehandlingen. Det er ifølge Venstres hjemmeside også Venstres politik, og ministeren var lidt inde på det, men er det stadig sådan, vil Venstre gerne udvide både retten til udredning og behandlingsgaranti til også omfatte facilitetsområdet.",Louise Brown_video_41_start_0-35-35
" Vi har hørt lidt om regeringsinitiativer, men ikke tilstrækkeligt. Jeg har svært ved at forstå, at man modsiger sig en national standard på det her område, hvor man samtidig agter at fremlægge om tid en ældrelov, som jo er national standard. Hvorfor ikke det her, som er det vigtigste i forhold til æigtigste, synes jeg, i forhold til ældre mennesker, at dem, man sender rundt til de ældre, om det er i private hjem eller på plejehjem, eller for den tags skyld også på hospitaler, at der er sproget dansk. Så vigtigt, at det er kommunikationen. Det er faktisk det allervigtigste. Så derfor synes jeg, at der bør være en national standard. Hvorfor ikke lige præcis på det her område, men sandsynligvis, hvad regeringen kommer frem med på andre områder?",Pia Kjærsgaard_video_44_start_6-31-24
" at hvis vi sætter lovrammer ned over folk, så agerer de jo forhåbentlig inden for loven, de fleste af dem, og så bliver der jo et marked. Men der er jo faktisk også i loven, hvor de fortæller, at der er nogle, jeg tror det er fri, det hedder de ikke det, som jeg er meget bekymret for, men der kommer meget mere på deponi. Og virkeligen er, at hvis ikke der er nogen, der vil bygge med de gamle materialer, så får vi jo det bare på deponiet. Så bliver det selvfølgelig sorteret i fraktioner først, men så kommer det på deponi alligevel. Og det er jo ikke det, vi ønsker. Vi ønsker jo, at det her bliver genbrugt, enten til noget visuelt smukt eller til noget praktisk. Og grus igen, alt det, vi kan bruge til grus, det kommer Tak for det.",Kim Edberg Andersen_video_40_start_1-02-07
" Det er meget påpasning med at mistænke enten Anklagmyndighedens påstand om varetægtfængslingen og tilsvarende dommernes afgørelse af det som værende et hensyn til kapaciteten i Kriminalforsorgen. At der så er kapacitetsudfordringer i Kriminalforsorgen er jo helt åbenlyst. Og i forhold til den første del, der er jeg fuldstændig enig med at have Peter Kofod. Jeg tror der kan være mindstst lige så mange eksempler på, hvor man enten burde have haft varetægtsfængslet, eller i hvert fald burde have gjort noget andet. Jeg synes jo, den skrækkelige, skrækkelige sag med politibetjenten Magnus Buhl, der blev slået ihjel på Langebro, hvor det er, at gerningsmanden, eller i hvert fald den mistænkte efterfølgende, ikke bliver varetætsfængslet og derefter udrejser af landet og nu efter vores bedste viden opholder sig i Dubai er i hvert fald et skrækkeligt eksempel på, hvor man ikke varetægtsfængslede. Spørgeren for MKB bemærkningssystemet, skal tages ind.",Peter Hummelgaard_video_44_start_5-05-10
" Tak for spørgsmålet. herunder jordbundsforhold og alt muligt andet. Og så er det jo også sådan, at hvis man ender med at give en byggetilladelse, så kan man jo også give nogle krav til folk til sandpluder og jordmembran og alt muligt andet, som kan sikre, at man tager hensyn til de ting, som der nu kan tages hensyn til i en given ansigning. Så sidder vi i tanker.",Hans Kristian Skibby_video_40_start_3-41-16
" Jeg vil bare fremme, at jeg synes, at jeg er tak for en god ordført tale. Det var jo nærmest et ægokammer af min egen tale, og det understreger jo den bredde, der er herinde i Folketinget til at gå seriøst til værks i forhold til konventionerne. Det er jeg faktisk rigtig glad for. Vi er jo lidt tilbage i historiebøgerne i den her debat, må vi jo nok erkende. Og jeg anerkender, at Danmarksdemokraterne er et nyt parti, og kan således heller ikke have ansvaret for fortiden. Men jeg har været lidt tilbage i analerne. Og hvad jeg kan synes, man er frem til, så mens der var et borgerligt flertal tilbage i nullerne, der har man jo også stemt for at give rigtig mange mennesker statsborgerskab. Jeg har selv kunne sætte mig frem til, at 14 gange har Dansk Folkeparti med fru Pia Kærsgaard stemt for, og der er faktisk i de 14 lovforslag, man har stemt for, omkring 35.000 mennesker, der har fået dansk statsborgerskab med stemmer fra Dansk Folkeparti. Jeg vil bare høre ordføreren om det er i følge ordførendes optik mange eller få?",Anders Kronborg_video_41_start_3-38-46
" Det er nemlig rigtig, rigtig vigtigt i hverdagen for den ældre borger. Fordi man skal jo prøve at sætte sig i deres situation. Man er måske blevet svækket med alderdommen. Man har fået nogle skavanker. Man kan ikke foretage sig de samme ting, som man kunne før. Så man har ikke brug for flere udfordringer, blandet ikke i forhold til, om man rent faktisk kan forstå det plejepersonale, der kommer og skal give en den hjælp i den sårbare situation, som det er, man står i.",Marlene Harpsøe_video_44_start_6-48-03
" Hvis man opfylder kravne til dansk statsborgerskab, så skal man have dansk statsborgerskab. Og det skal ikke være nogen hemmelighed, at vi i Inglis Listen synes, at kravne er for stramme i dag. Jeg synes ikke, og vi synes ikke i Inglis Listen, at man skal straffes ved ikke at kunne få dansk statsborgerskab for noget kriminalitet, man har begået for 10 år siden. Det er heldigvis sådan i det her land, at man ikke er straffet for evigt. Det er sådan vores strafssystem fungerer. Det er det strafssystem, vi tror på i det her land, fordi vi ikke tror på, at man skal være kriminel eller dømt for evigt. Det er blandt andet også derfor, at vi ikke går ind for livstidsstraf, som andre partier her i Folketinget gør. Værsgo, spørger.",Rosa Lund_video_41_start_4-16-02
" Det kan jeg helt ensynligt bekræfte. Kigger du på historikken over tildelte statsborgerskaber, så er alle de tilfælde, jeg har tusind af i mit arkiv op på min computer efterhånden, af dybt kriminelle mennesker, som vi ikke kan udvise, fordi et uansvarligt folketingsflertal har givet dem statsborgerskab på et eller andet tidspunkt. Stort set dem alle sammen har fået statsborgerskab på Venstre og Socialdemokratiet og alle de andre partier end Dansk Folkeparti stemmer her i Folketingssalen. Så jeg synes det er noget mærkeligt at begynde at sige at Dansk Folkeparti på nogen som helst måde er medansvarlig. Når det tværtimod er os der har sikret de markante stramninger. Som alle partier i dag siger, at vi er rigtig glade for at der er blevet strammet op. Ja, takket være Dansk Folkeparti, det er os der har fået alle de stramninger, som alle partier i dag siger, at vi er rigtig glade for, at der er blevet strammet op. Ja, takket være dansk folketid. Det er os, der har fået alle de stramninger igennem. Så ja, men det er jo dansk politik sådan. Det er tater nogle gange.",Mikkel Bjørn_video_41_start_4-42-20
" Hvis det datagrundlag, vi har nu, ikke er godt nok, og som i virkeligheden er flere domme end man havde fra 2000 og til 2002, hvor der blev langt færre dømt for voldsigt og langt færre sigtet. Hvis det ikke er godt nok, er det ordførende, der står og siger nu, at der er forkerte sigtelser eller forkerte domme. Jeg prøver bare at forstå. Ordføreren siger, at det grundlag, vi har, ikke er godt nok nu. Hvad er det, der præcis er i vejen med det grundlag? Sker der forkerte sigtelser eller forekommer der forkerte domme? Hvad er det, ordføren prøver at sige, når grundlaget ikke er godt nok til at kunne lave en undersøgelse? Jeg synes ikke, at spørgeren lyder bestemt mål.",Karina Lorentzen Dehnhardt_video_44_start_4-00-48
" Tak for ordet. I Moderaterne kommer vi ikke til at stemme for dette beslutningsforslag af flere grunde. I Moderaterne er vi meget enige i, at de ældre beboere på plejehjem eller de, der modtager pleje i eget hjem, skal være trygge ved den pleje, de får. Det er både dem, der udfører arbejdet, der skal være trygge. De skal have de nødvendige kompetencer. Men der skal også være en rigtig god kommunikation. Plejepersonalet imellem medarbejdere og borgere. Vi skal også sikre, at de er k enkelte kommuner og ledelse på plejehjemmene ansvar og opgave at sikre, at de medarbejdere, der er ansatte, er kompetente til deres opgave. Jeg er sikker på, at kommunerne gør alt, hvad de kan for at gøre dette. Og der vil selvfølgelig være en vis forventning til, at medarbejderne kan kommunikere og indgå i dialog med den ældre på samme sprog. Men det betyder ikke, at vi skal lovgive på området centralt herindefra. I Moderaterne tror vi på, at det er vigtigt at værdsætte magtfold ældre personale i de enkelte kommuner, og dermed sikre, at de har de nødvendige ressourcer og støtte til at udføre deres arbejde. Derfor er jeg rigtig glad for, at regeringen har udarbejdet og lige så småt er ved at præsentere den nye ældreform, der grundlæggende vil frisætte ældreområdet. Tak for ordet. Hold da en kort bemærkelse, fru Pia Kærsgaard, Dansk Folkeparti. Jeg må indrømme, at jeg bliver mere og mere",Rosa Eriksen_video_44_start_6-52-13
" Men der er ikke nogen tvivl om, at vi har brug for, og jeg tror, at ordføreren kalder det hegnspæle i forslaget, eller noget lignende i hvert fald, noget med nogle hegn. Og det er jeg sådan set overhovedet ikke uenig i. Men jeg har også, da jeg læste forslaget, tænkt over, hvad er det egentlig, at man forestiller sig, der vil ske, hvis vi ikke vedtager beslutningsforslaget B42. Vi mangler faktisk nogle rammer osv. Der synes jeg også, vi har behov for en drøftelse af, hvor er det, at vi som politikere skal hjælpe med de rammer, og hvor er det, at virksomhederne selv skal beslutte, hvordan man hegner det ind i lige præcis deres virksomhed. Spørg hun.",Mona Juul_video_41_start_2-02-13
" – der er afskaffet nogle år siden, og regeringen har igenneført den. Det, regeringen har gjort, i hørt med opbakning i Folketinget, som ikke skal deponere, – – går jeg ud fra sin holdning, hos nogle organer, nogle steder, – – det er et målrettet indgreb for at afhverve en helt konkret situation, hvor det de facto var sådan, at der fandt daglige, systematiske krænkelser sted, og det kunne stort set isoleres til noget, der skete i Danmark og Sverige. Det er den situation, vi har forholdt os til. Og jeg vil bare sige igen, at jeg har indtødt sted, og heller ikke i Washington, mødt kritik af den måde, – – den danske regering har håndteret den her sag på.",Lars Løkke Rasmussen_video_41_start_0-13-19
" Det er jo ikke det største lovforslag, vi har haft. Jeg kan godt konkludere på Morten Messelsmids tal og sige, at hvis vi nu bare laver loven selv, så er vi fri for at stå her i dag. Så skal vi ikke bare konkludere, at det kan vi godt klare selv. Så vil jeg godt rose mine folketingskolleger i, at juleferien har gjort, at vi har hurtig ekspedit i folketingssalen, og det ser jeg frem imod. Nye borgerlige kommer til at støtte lovforslaget, selvfølgelig gør vi det. Vi ser også frem til, hvis der bliver gravet op, at dansk lovgivning nogle gange er bedre end europæisk. Men det er jo som parti et sted, vi er ret tryg i at stå. Det er nok EU-lovgivningen, der får det mest af noget råd, og det er dansk folketingsindsats, som nogenlunde altid har styr på det. Det ser vi frem mod, at ministeren begynder at implementere noget mere. Vi støtter forslaget og ser frem mod en lige så hurtig behandling af alle de andre lovforslag, vi får igennem året.",Kim Edberg Andersen_video_40_start_0-15-35
" Tak for spørgsmålet. Jeg er enig i, at tallene fra Frontex understreger, at vi står i en migrationskrise. Vi skal tilbage til 2016 for at finde et år, hvor der var flere spontane asylansøger, end der er i år. Det har enormt store konsekvenser. For det første er der tusindvis af mennesker, som dør på vej over. For det andet bliver rigtig mange mennesker, som egentlig har større asylkrav eller med væsentlig asylkrav efterladt i nærområdene. Det er derfor, at vi i regeringen arbejder for et nyt europæisk asylsystem, hvor de irregulære migrationer bliver stoppet, og man i stedet får en ordnet måde at søge asyl i Europa. Jeg er tilfreds med, at der efter tre års svære forhandlinger her kort før jul blev opnået enighed om hovedelementerne i den nye migrations- og asylpakt. Vi får sikkerhed styrket ved de ydre grænser. Der kommer bedre screening, obligatorisk grænsebrugsstyre, bedre registrering af asylansøgere og irregulære migranter. Og vi arbejder også for at bekæmpe irregulær migration og smuldrenetværk gennem styrkekontrol med EU's ydre grænser. Vi bidrager hvert år fra Danmarks side til Frontex med personel- og kapacitetsbidrag i form af blandet fly, helikopter, patrullibåde og køretøjer til de lande, som ligger i grænseområderne. Men det er vores klare overbevisning af regeringen, at der udover de nuværende indsatser er brug for at forebygge og adressere den irregulære migration helt grundlæggende. Og det er derfor, vi ønsker, at der skal laves en aftale med et tredje land uden for EU. Det bruger jeg meget af min tid på at tale om og på at overbevise andre europæiske lande om. Og jeg føler faktisk også, hvis jeg skal være ærlig, at der er en del, som lytter til det og som også er interesseret i at ændre grundlæggende på den måde, som migrationen foregår til Europa. Tak for ordet.",Kaare Dybvad Bek_video_41_start_0-58-18
" Det har også store menneskelige konsekvenser for de berørte. Samtidig kan vi også se, at antallet af fødte børn i Danmark er faldende. Det er i sig selv en samfundsudfordring, som vi gerne vil gøre noget ved. Og det er derfor, at vi gerne vil styrke Fertilitetsindsatsen ved både at tilbyde flere forsøg, men også at give mulighed for at kunne få hjælp til andet barn. Og det er derfor, vi fra regeringssiden har meldt ud, at vi er parate til nu og gerne vil investere i et tresciffer-millionbeløb til bekæmpelse af barnløshed. Jeg er dog også enige med spørgeren i, at vi aktuelt og i dag har udfordringer med ventetider til fertilitetsbehandling. Og derfor vil vi jo også bruge de penge, vi vil investere i fertilitetsbehandling til jo, at de skal gå til blandt andet jo at opbygge kapaciteten på de offentlige fertilitetsklinikker, så vi kan nedbringe ventetiden. Der vil også være en implementeringsperiode, men vi vil også samtidig have fokus på, hvordan vi kan bruge kapaciteten på private fertilitetsklinikker og få dem inddraget til at kunne give hjælp. Det er noget af det, vi nu vil gå i dialog med blandt andet Danske Fuldhøjelse Brown?",Sophie Løhde_video_41_start_0-33-52
" Det er faktisk en lidt unik situation i Danmark, for vi har fået en midterregering bestående af tre forskellige partier. Det er ikke min opfattelse, at de enkelte partier, der lige nu er i regeringen, egentlig har ændret deres politik, når det kommer til udlændingeområdet. Men til gengæld er gået på kompromis i forhold til de politiske afgørelser og i forhold til de udspil, som kommer fra regeringen af.",Sandra Elisabeth Skalvig_video_41_start_3-54-25
" Mange tak for det. Han arbejdede en del år hos Ostroblond Nedbrydning. Der hævede de et hav af bygninger ned. Min far har alligevel været lidt forud for sin tid, selvom jeg ikke tror, han ville kalde sig selv den store klimaforkæmper. Det er han lidt for østjysk træmand til. Men når jeg tænker på de gange, min far kom slæbende hjem med brugbare materialer, som blev kasseret. Han kom særlig hjem med en kartoffelskralder, som havde stået på et gammel flyhjem. Den var meget praktisk, når man havde syv børn derhjemme, at have sådan en automatisk kartoffelskraldemaskine. Men mængden ressourcer, der er blevet kasseret igennem, og tiger, når vi har brudt ned, er tankevækkende. Og det er bekymrende, når vi ved, hvor meget af vores CO2-forbrug, der er læret i bygninger. Når vi ved, hvor hårdt belastet det er, hver gang vi bygger ny og bruger nye ressourcer. Vi ved, at vores CO2-aftryk per dansker er alt for høj. Derfor giver det rigtig god mening, at der nu kommer det her lovforslag. Det er jo en udmyndning af en klima-aftale om en grøn affaldssektor og cirkulær økonomi tilbage fra 2020, som det konservative folkeparti også var en del af, da aftalen blev indgået. Så var der et element, hvor vi ikke kunne nå hinanden hen ad vejen omkring det her med liberalisering af affaldssektoren, hvor vi konservative endte med at træde ud af aftalen. Men det ændrer ikke på, at vi føler både en lojalitet og forpligtelse over for at få genanvendt så mange af de materialhov, der er. Der har været en diskussion i sagen i dag omkring kvadratmetergrænsen. Burde det være højere eller lavere? Hvordan burde det ligge? Når jeg tror, det er fornuftigt nok, at man starter ud, som der ligger op til i lovforslaget her, så er det også med hensynstagen til, at der også skal være de dygtige medarbejdere, som skal være med til at påse den proces, der er, hvor man sikrer, at det her foregår på den rigtige måde. Så det er også et spørgsmål om, rent lavpraktisk, har uddannet de medarbejdere. Men vi konservative bakker op om det her forslag, som vi synes er et godt skridt i den rigtige retning i forhold til, at vi bliver mere systematisk, og det er ikke bare af min far i Oslo Blom nedbrydning, der kommer hjem med vinduer, der lige kunne bruges i et kvistvindue her og der. Tak for det.",Mette Abildgaard_video_40_start_0-37-53
" at høre, at fru Marlene Harpsø er enige i, at sprog er vigtige. Det tænker jeg også med den erfaring, som både fru Pia Kæreskov og Marlene Harpsø har tilbage, eller uden for Christiansborg, at det ved I jo om nogen, at det er utrolig vigtigt, hvad den sproglige betydning har. Jeg vil nu fastholde, at den bevægelse, som jeg mener, der er grundbevægelsen, også i det nye ældresudspil, som kommer her i sin fuld længde om et par uger, det er det her med lokal frihed, men også lokalt ansvar. Og så skal vi fra Christiansborg, min og er rollen er, at vi har nogle overordnede kvalitetsmål for, hvad er det egentlig, vi forbinder med god ældrepleje. Og det er det, vi skal sikre kompetente faglige medarbejdere. Det bliver endnu mere vigtigt fremover. Også med sproglige kompetencer, ledelse og nogle tilsyn, som har fokus på kvalitet, faglig udvikling og læring frem for at være en hammer i hovedet på de plejehjemseenheder og plejehjem, eller hjemplejeenheder, som er i det ganske land. Spørgsmål? Tak for svaret.",Mette Kierkgaard_video_44_start_6-20-11
" Det er svært lovgivningsmæssigt at følge med. Forordningen om kunstig intelligens blev fremsat i 2022, hvor ingen chat-GPT havde fået sit folkelige gennembrud. Derfor kommer lovgivningen på bagkant af udviklingen. Det er naturligt. Men jeg fastholder, at vi på ingen måde sidder på hænderne og er opmærksomme på at yde vejledning og rådgivning i brugen af kunstig intelligens. Og det er også derfor, at Datatilsynet har udgivet vejledning til offentlige myndigheders udvikling og brug af kunstig intelligens. Og Digitaliseringsstyrelsen har altså også udgivet et guide til både offentlige myndigheder og til virksomheder omkring brugen af kunstig intelligens. Så der sker jo meget på området i forhold til at vejlede og rådgive både offentlige myndigheder og virksomheder omkring brugen af kunstig intelligens. Så der sker jo meget på området i forhold til at vejlede og rådgive både offentlige myndigheder og virksomheder. Men for mig er det vigtigt, at den vejledning og rådgivning også bliver ved med at flugte med det, der kommer med kunstig intelligensforordningen. Vi kan ikke gå videre end den.",Marie Bjerre_video_41_start_1-22-45
" Det var et, som jeg længere tænkte, at vi skulle stille i DF. Det var en glædelig overraskelse, at det allerede var stillet, så vi fik debatten ud før. Det er ekstremt vigtigt, at vi får opdateret de her tal. Der ligger ingen argumentation for, hvorfor vi ikke skulle gøre det. Der er masser af domme og anmeldelser. Der er masser af lovgivning, som man salen inden for ganske kort tid igen, når vi i Dansk Folkeparti stiller et forslag, også om at få kuglegravet hele lovgivningen. Så bare tak for at samle oppositionen om det her vigtige forslag.",Mette Thiesen_video_44_start_4-43-26
" Der er sket en lempelse, men der er jo ikke sket en lempelse, hvis en kommune ønsker, at bestemte nye bydele skal bruge bæredygtige byggematerialer og skal have et ekstra lavt ressourceforbrug i et byggeri. Så kan vi ikke via det, der står i planloven, sikre, at det er en kommune. Hvis man går virkelig hårdt til den, så kan man måske sikre, at der er gule tegel på alle husene. Og så kan man fastlægge en energiklasse og definere, hvor energiforsyningen er fra. Men man kan ikke gå videre. Hvorfor ikke tillade det? Der er en lang række kommuner i Danmark, som har ønsket at give plads til, at der opstår mere bæredygtig byggeri. Men det kan bare ikke sikres gennem en lokalplan, fordi planloven er, som den er. Så der er faktisk brug for en ændring. Så det der med at ændre hensyn til herregårdslandskab, det sikrer sig ikke. Det bæredygtig byggeri i byerne.",Søren Egge Rasmussen_video_40_start_2-32-23
" Det er udmærket bekendt med, at SF laver en indsats. Det gør de fleste miljøminister og regeringspartier uanset farver for at prøve at håndtere nogle af de her problemer. Der er jo ikke nogen, der er uenige i, at nogle forureningsting skal man forsøge at gøre noget ved. Jeg henviste også med et passende og venligt vink om, at selvom SF også er væk i regeringen, så var der jo ikke blevet bagryget totalt op. Vi deler jo alle sammen ambitionen om, at når man deltager i finanslovsforhandlinger, uanset om man er regeringsparti eller oppositionsparti, at vi så får mest mulig hastighed på de her ting.",Erling Bonnesen_video_40_start_3-31-26
" Der er forskellige kriterier for, hvordan man kan varetægtsfængsele folk. Hvorfor man gør det, der er ofte en rigtig god begrundelse for at gøre det. Bare fordi vi gør det i højere grad end i lande, man i andre sammenhæng normalt ville sammenligne os med, så er det ikke et udtryk for, at vi nødvendigvis er på gals bord i Danmark. Det kan være, at vi bruger det bedre end vores nabolande eller dem, vi normalt ville sammenligne os med. Så det er ikke i sig selv en indikator, at man i Sverige eller i Norge for øvrigt gør noget på en anden måde, end vi ville gøre det i Danmark. Der ligger en bredere diskussion her, der handler om ressourcediskussionen, som flere ordfører før mig har været inde på. Fordi det er jo rigtigt, at med det pres, der er på hele kæden, ja, så kan man ikke tage de hensyn, som man måske ville gøre til børn. Hvis der havde været flere fængselsbetjente, hvis der havde været faciliteter til det, så kunne det være, at man havde valgt i nogle sager en anden kurs. Så kunne det være, at nogle børn havde fået mulighed for at hyppige og se deres forældre. Det er jo ikke børnens skyld, at forældre begår kriminalitet eller er varetægtfængslet, fordi man potentielt kan have begået noget, der er så alvorligt, at en varetægtfængsling er nødvendig. Når det er så sagt, så er det jo fuldstændig rigtigt. Det, som jeg tror, justitsministeren, men også den socialdemokratiske overfører, rej har problemer med, at hvis det, at man har kontakt med omverdenen, giver anledning til anden form for kriminalitet eller mere kriminalitet, f.eks. som det var set med armarabanden, så dur det jo heller ikke. Så alt i alt, så kan vi afvise det her beslutningsforslag. Tak. Tak til ordføreren. Der er ikke nogen kort bemærkninger, så vi går videre til ordføreren for forslagstillerne, Signe Stampe.",Peter Kofod_video_44_start_5-53-47
" Der er intydel om, at jordforureningsloven er af ganske væsentlig betydning. Og at det i takt med, at der kommer nye kemikalier og andet på markedet, og gamle bliver fundet, når man graver ud, kan være et behov for at revidere, ligesom alt andet, miljølovgivning. Sådan er vi sikre, at Danmark er både et smukt, rent og et godt land at leve, bygge og bo i. Derfor vil jeg sige, at det forslag, der ligger nu, på mange måder har en fin intention. Men i modsætning til det forrige forslag, som nærmest brændte alle rammer for ukonkrethed, så vil jeg sige, at et så komplekst område som jordforureningsloven – – kræver nok en lidt større forberedelse, inden man i gang sætter en revision. En høringsproces, hvor alle relevante parter bliver inddraget. En proces, hvor man får udbroet de eventuelle mangler, der er i den gældende lovgivning, som jo øvrigt kan være dæktet af flere love, og derfor så også kan kræve en mere bred tilgang til tingene. Om vi derfor ender med at stemme grønt eller gult til det her forslag, det har vi ikke gjort endelig op med os selv endnu, fordi vi er sådan set enige i, at jordforureningslån skal afspejle det samfund og de udfordringer, som vi lever i. Men i et udslag af en pludselig ydmyghed vil jeg også sige, at jeg ikke er klar til at sige, hvad det er for nogle udfordringer. Så hvis det havde handlet om at alene have i gangsæt en analyse og få belyst, hvad det er for nogle eventuelle problemer, der måtte være, så havde vi været ret overbevidste om, at vi havde været over i den grønne knap og kunne stemme ja. Men fordi forslaget her i modsætning til det tidligere er skrevet i et relativt koncist tonefald – – som Polleker-regeringen – – så føler jeg mig ikke helt klar til at træffe det skridt. Det kan være, at vi i fællesskab notter hen – – men af respekt for kompleksiteten både i juridisk forstand – – men også i faglig-saglig forstand i forhold til, hvad der er, der rør sig derude, der er vi ikke helt klar til at tage det skridt endnu. Men det skal ikke forstås sådan, at vi på nogen måde nedgør forslaget eller forslagsstillernes intentioner. Tværtimod, det er et uhyrevigtigt område, og derfor udelukker vi overhovedet ikke, at en revision kan være det betimelige at gøre. Vi vil bare gerne vide lidt mere om det, inden vi sætter processen i gang.",Morten Messerschmidt_video_40_start_3-54-59
" Beslutningsforslaget vi behandler her omhandler gennemførelsen af lovgivningen, der pålægger politi og domstol, lader udarbejde præcise sine allemanger, hvis muligt, f.eks. i døgnrapporter eller udtalser i medierne. Sådanne oplysninger skal også journaliseres og gælde for anholdte, mistænkte, sigtede, tiltalte og i sidste ende dømte personer. Først og fremmest vil jeg takke Dansk Folkeparti for at sæbejde præcise og detaljerede signalemanger, hvis de finder det relevant for det politimæssige arbejde. I Liberale Alliance er vi altså tillid til, at dansk politi gør det i dag. Dette bakkes også op af blandt andet Rejseholdets tidligere chef, Bengt Isager Nielsen, som har kommenteret emnet, han udtalte bl.a. i 2020, at han oplevede, at den danske tilgang prioriterede at fremhæve så mange oplysninger som muligt, og at udseende og signalemanger anvendes vores naboland Sverige. Her er der flere eksempler på, at den politiske korrekthed overstiger den objektive sandhed, hvilket skaber et misvisende billede i medierne og en afvielse i virkelighedsopfattelsen. Dette svækker tilliden til vigtige institutioner som politi og domstole. Heldigvis er Danmark ikke i samme situation som Sverige på dette område. Til gengæld bruger vores politifolk i dag omkring en tredjedel af deres tid på ledelse og administrative opgaver, hvilket vi ikke ser behov for at øge yderligere gennem lovgivning med obligatoriske præcise signalemanger og journaliseringer. Forslaget her er altså unødvendig detaljestyring af offentlige myndigheder, det øger byråkratiet og det virker ikke i ældreplejen, så hvorfor skulle det virke hos politiet? På baggrund af dette finder vi ikke grundlag for at støtte beslutningsforslaget, som det foreligger nu. Vi opfordrer dermed politiet til at fortsætte at udarbejde præcise signalemanger, når de finder det relevant, uden at lade sig begrænse af misforstået politisk korrektiv. Tak. Der er en kort bemærkelse til, at hr. Mikkel Bjørn, Dansk Folkeparti,",Steffen Larsen_video_44_start_3-24-01
" Tak for ordet, formand. Hvis man følger debatten derhjemme, så kan man godt få indtryk af, at det her er en ren ekspeditionssag og at vi er enige i Folketinget. Det sidste vil jeg bekræfte. Jeg tror, vi er enige, at selvfølgelig opdaterer vi listen over lande på den danske defensive forudstaltninger i forhold til skattely, når EU's skattely-liste også gør det. Men jeg vil lige knytte et par ord til EU's skattely eller liste over skattelylanden. Dels fordi listen er mangelfuld, og dels fordi, at selvom det må eller vil have konsekvenser for europæiske virksomheder, som har investeret i det land, så er man nødt til at gennemføre sanktionerne, for at vi dermed kan presse verdens lande mod større skatteåbenhed og undgå skattelykonstruktioner. Skattelykoster samlede verden over 2.000 milliarder. Der er forskellige estimater, men det er store beløb, der er i skattely, og som undslår sig blandet den danske skatteopkrævning, men jo også skatteopkrævningen i en række af verdens udviklingslande. Så det, at vi stadig har skattely, som snylder på den samlede skattebetaling, det er dybt problematisk, og derfor er det afgørende, at man gennemfører de sanktioner, der følger med EU's skattelyliste. Det andet er jo så, at EU's liste desværre er stærkt mangelfuld. Og det er den først og fremmest, fordi europæiske lande ikke kan optræde på skattely-listen, selvom vi ved fra utallige læg, at der er klare skattely i Europa. Man kan nævne Luxemburg som et af dem. Det er lande, som slår sig op på at sikre, at virksomheder betaler en for lav skat, ikke udveksler skatteoplysninger med andre europæiske skattemyndigheder, og som derfor på alle måder lever op til kravene til at være på listen over skattely-landet. Det bør ændres. Det kan vi ikke gøre her for Folketinget. Det er et spørgsmål i EU, men det er problematisk. På samme måde ved vi også, at der er en række skattely uden for EU, som heller ikke er opført på listen. Det er skattely som Cayman Island og Bermuda, som har utallige læg og utallige eksempler på, at der bliver spekuleret i skat. Så ISF så støtter vi selvfølgelig, at vi opdaterer den danske lovgivning i forhold til hver for nogle lande, der skal have sanktioner. Det indbefatter, som ordføreren for Venstre, her Kim Wallentin, siger selvfølgelig også, at de lande, der nu lever op til kravene, bliver flyttet ud af dem, der skal have sanktioner. Og samtidig så er vi stadig kritiske over, for at EU's skattelysliste ikke er fyldt skør.",Sigurd Agersnap_video_41_start_2-35-17
